side,method,name,k,noise_pct,silhouette,davies_bouldin,stability_mean,stability_std,noise_assignment_stability_mean,noise_assignment_stability_std,composite_score,gt_ari,gt_accuracy,gt_matched_n,gt_match_rate,gt_side_ari,gt_side_accuracy,gt_side_balanced_accuracy,gt_side_macro_f1,gt_side_baseline_accuracy,gt_general_ari,gt_general_accuracy,gt_general_balanced_accuracy,gt_general_macro_f1,gt_general_baseline_accuracy,gt_igl_ari,gt_igl_accuracy,gt_igl_balanced_accuracy,gt_igl_macro_f1,gt_igl_baseline_accuracy
ct,hdbscan,hdbscan_mcs4_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs5_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs6_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs8_ms4,2,0.2448,0.2383624908501824,1.4318990677452883,0.9181852426631396,0.032827918789478,0.972875816993464,0.0109903083142485,0.5317281811092693,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs10_ms5,2,0.276,0.2419785296323786,1.3979756562246632,0.9028332279001186,0.035448441913484,0.9698692810457517,0.0112408800328163,0.5271490086331375,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs12_ms5,2,0.276,0.2419785296323786,1.3979756562246632,0.9028332279001186,0.035448441913484,0.9698692810457517,0.0112408800328163,0.5271490086331375,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs2_ms5,2,0.276,0.2419785296323786,1.3979756562246632,0.9028332279001186,0.035448441913484,0.9698692810457517,0.0112408800328163,0.5271490086331375,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs3_ms5,2,0.276,0.2419785296323786,1.3979756562246632,0.9028332279001186,0.035448441913484,0.9698692810457517,0.0112408800328163,0.5271490086331375,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs4_ms5,2,0.276,0.2419785296323786,1.3979756562246632,0.9028332279001186,0.035448441913484,0.9698692810457517,0.0112408800328163,0.5271490086331375,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs5_ms5,2,0.276,0.2419785296323786,1.3979756562246632,0.9028332279001186,0.035448441913484,0.9698692810457517,0.0112408800328163,0.5271490086331375,,,,,,,,,,,,,,,,,,,
